92 1 1 48622.00 I  0.182970 0.000672  0.168781 0.000345  I-0.1251688 0.0000207  1.8335 0.0201  I   -10.437     .507     -.917     .165   .182400   .167900  -.1253000    -9.900    -1.700  
92 1 2 48623.00 I  0.180597 0.000672  0.166782 0.000345  I-0.1269580 0.0000203  1.7556 0.0144  I   -10.354     .507     -.996     .165   .180300   .165900  -.1270800    -9.900    -1.700  
92 1 3 48624.00 I  0.178166 0.000672  0.164810 0.000345  I-0.1287025 0.0000200  1.7450 0.0107  I   -10.201     .688    -1.068     .298   .178200   .163900  -.1288200    -9.900    -1.700  
92 1 4 48625.00 I  0.175804 0.000264  0.162840 0.000341  I-0.1304697 0.0000070  1.7995 0.0105  I   -10.003     .529    -1.066     .298   .175700   .161600  -.1305800   -10.100    -1.500  
92 1 5 48626.00 I  0.173511 0.000192  0.160867 0.000246  I-0.1323195 0.0000063  1.9081 0.0045  I    -9.781     .529     -.909     .298   .173500   .159600  -.1324300   -10.100    -1.400  
92 1 6 48627.00 I  0.171254 0.000200  0.158887 0.000246  I-0.1342986 0.0000055  2.0548 0.0044  I    -9.535     .475     -.646     .298   .171100   .157800  -.1344200   -10.000    -1.400  
92 1 7 48628.00 I  0.168998 0.000169  0.156904 0.000254  I-0.1364353 0.0000061  2.2201 0.0041  I    -9.315     .241     -.461     .298   .168700   .156000  -.1365600    -9.900    -1.400  
92 1 8 48629.00 I  0.166668 0.000169  0.154968 0.000254  I-0.1387373 0.0000061  2.3807 0.0044  I    -9.222     .197     -.468     .107   .166200   .154200  -.1388600    -9.900    -1.400  
92 1 9 48630.00 I  0.164128 0.000172  0.153219 0.000254  I-0.1411890 0.0000063  2.5180 0.0059  I    -9.265     .197     -.513     .107   .163600   .152600  -.1413200    -9.800    -1.400  
92 110 48631.00 I  0.161407 0.000185  0.151639 0.000220  I-0.1437619 0.0000102  2.6210 0.0053  I    -9.283     .791     -.499     .134   .160900   .151000  -.1439000    -9.800    -1.400  
92 111 48632.00 I  0.158590 0.000149  0.150170 0.000208  I-0.1464140 0.0000085  2.6729 0.0085  I    -9.144     .166     -.527     .121   .158100   .149500  -.1465400    -9.800    -1.400  
92 112 48633.00 I  0.155697 0.000357  0.148774 0.000334  I-0.1490865 0.0000135  2.6613 0.0082  I    -8.960     .184     -.691     .123   .155300   .148100  -.1491800    -9.800    -1.400  
92 113 48634.00 I  0.152747 0.000365  0.147419 0.000339  I-0.1517153 0.0000141  2.5859 0.0101  I    -8.956     .304     -.927     .115   .152300   .146700  -.1518000    -9.800    -1.400  
92 114 48635.00 I  0.149769 0.000359  0.146063 0.000332  I-0.1542400 0.0000151  2.4555 0.0101  I    -9.257     .367     -.997     .298   .149300   .145400  -.1543000    -9.900    -1.300  
92 115 48636.00 I  0.146780 0.000366  0.144697 0.000263  I-0.1566207 0.0000145  2.3083 0.0098  I    -9.832     .369     -.773     .133   .146200   .144200  -.1566900   -10.000    -1.300  
92 116 48637.00 I  0.143771 0.000366  0.143394 0.000263  I-0.1588674 0.0000126  2.1937 0.0103  I   -10.496     .343     -.556     .125   .143100   .142900  -.1589500   -10.200    -1.300  
92 117 48638.00 I  0.140660 0.000403  0.142169 0.000248  I-0.1610333 0.0000147  2.1548 0.0086  I   -10.968     .378     -.626     .134   .139900   .141700  -.1611400   -10.400    -1.300  
92 118 48639.00 I  0.137351 0.000298  0.141020 0.000326  I-0.1632161 0.0000117  2.2332 0.0085  I   -10.999     .421     -.965     .123   .136700   .140500  -.1633600   -10.500    -1.300  
92 119 48640.00 I  0.133819 0.000193  0.139922 0.000287  I-0.1655405 0.0000086  2.4339 0.0069  I   -10.616     .479    -1.297     .125   .133500   .139300  -.1657200   -10.500    -1.400  
92 120 48641.00 I  0.130226 0.000191  0.138795 0.000286  I-0.1681102 0.0000075  2.7136 0.0057  I   -10.135     .465    -1.374     .135   .130300   .138000  -.1683300   -10.500    -1.400  
92 121 48642.00 I  0.126779 0.000203  0.137541 0.000282  I-0.1709677 0.0000076  2.9935 0.0056  I    -9.818     .493    -1.239     .113   .127200   .136700  -.1712100   -10.500    -1.500  
92 122 48643.00 I  0.123639 0.000164  0.136147 0.000333  I-0.1740621 0.0000084  3.1682 0.0057  I    -9.600     .460    -1.120     .122   .124100   .135400  -.1742900   -10.400    -1.600  
92 123 48644.00 I  0.120844 0.000164  0.134765 0.000333  I-0.1772519 0.0000084  3.1864 0.0060  I    -9.442     .460    -1.125     .122   .121000   .134000  -.1774700   -10.300    -1.700  
92 124 48645.00 I  0.118245 0.000176  0.133439 0.000294  I-0.1803886 0.0000086  3.0656 0.0070  I    -9.437     .437    -1.097     .132   .118000   .132700  -.1805900   -10.200    -1.800  
92 125 48646.00 I  0.115666 0.000171  0.132171 0.000378  I-0.1833518 0.0000112  2.8511 0.0086  I    -9.644     .344     -.960     .191   .115100   .131300  -.1835400   -10.100    -1.800  
92 126 48647.00 I  0.113037 0.000172  0.130932 0.000394  I-0.1860804 0.0000148  2.6056 0.0093  I    -9.925     .371     -.876     .326   .112300   .129900  -.1862800    -9.900    -1.900  
92 127 48648.00 I  0.110314 0.000172  0.129681 0.000394  I-0.1885686 0.0000148  2.3768 0.0102  I   -10.025     .418     -.983     .303   .109500   .128600  -.1887700    -9.800    -2.000  
92 128 48649.00 I  0.107453 0.000190  0.128375 0.000390  I-0.1908501 0.0000141  2.1964 0.0103  I    -9.890     .477    -1.190     .347   .106800   .127300  -.1910600    -9.700    -2.000  
92 129 48650.00 I  0.104489 0.000190  0.127045 0.000390  I-0.1929885 0.0000143  2.0974 0.0100  I    -9.674     .466    -1.436     .301   .104200   .126100  -.1932200    -9.600    -2.100  
92 130 48651.00 I  0.101615 0.000199  0.125863 0.000387  I-0.1950709 0.0000142  2.0764 0.0119  I    -9.421     .466    -1.643     .301   .101600   .125000  -.1953000    -9.500    -2.100  
92 131 48652.00 I  0.098941 0.000227  0.124872 0.000371  I-0.1971593 0.0000189  2.1095 0.0115  I    -9.104     .487    -1.771     .316   .099100   .123900  -.1973700    -9.500    -2.200  
92 2 1 48653.00 I  0.096524 0.000235  0.124068 0.000387  I-0.1993050 0.0000181  2.1877 0.0104  I    -8.786     .515    -1.815     .172   .096700   .123000  -.1994900    -9.500    -2.200  
92 2 2 48654.00 I  0.094308 0.000203  0.123431 0.000278  I-0.2015446 0.0000089  2.2954 0.0102  I    -8.534     .503    -1.695     .158   .094300   .122200  -.2017000    -9.700    -2.300  
92 2 3 48655.00 I  0.092189 0.000204  0.122933 0.000277  I-0.2039000 0.0000096  2.4158 0.0069  I    -8.416     .465    -1.427     .144   .091700   .121400  -.2040200    -9.600    -2.200  
92 2 4 48656.00 I  0.090033 0.000214  0.122540 0.000274  I-0.2063735 0.0000106  2.5280 0.0075  I    -8.473     .484    -1.213     .168   .089300   .120700  -.2065100    -9.400    -2.200  
92 2 5 48657.00 I  0.087704 0.000216  0.122177 0.000272  I-0.2089558 0.0000115  2.6394 0.0080  I    -8.697     .400    -1.266     .128   .086900   .120100  -.2091300    -9.200    -2.300  
92 2 6 48658.00 I  0.085126 0.000216  0.121674 0.000272  I-0.2116476 0.0000119  2.7366 0.0082  I    -9.004     .380    -1.552     .119   .084500   .119600  -.2118600    -9.000    -2.300  
92 2 7 48659.00 I  0.082431 0.000212  0.121020 0.000251  I-0.2144125 0.0000118  2.7841 0.0075  I    -9.303     .236    -1.864     .298   .082000   .119100  -.2146100    -9.100    -2.300  
92 2 8 48660.00 I  0.079753 0.000145  0.120261 0.000202  I-0.2171919 0.0000092  2.7599 0.0077  I    -9.505     .258    -2.042     .298   .079400   .118600  -.2173600    -9.200    -2.400  
92 2 9 48661.00 I  0.077054 0.000177  0.119463 0.000228  I-0.2199072 0.0000100  2.6606 0.0071  I    -9.550     .260    -2.086     .298   .076700   .118200  -.2200300    -9.400    -2.400  
92 210 48662.00 I  0.074260 0.000177  0.118692 0.000228  I-0.2224955 0.0000108  2.5086 0.0072  I    -9.572     .306    -2.036     .298   .073900   .117700  -.2225800    -9.500    -2.400  
92 211 48663.00 I  0.071302 0.000113  0.118010 0.000239  I-0.2249148 0.0000103  2.3279 0.0067  I    -9.777     .335    -1.844     .120   .071100   .117300  -.2249800    -9.700    -2.400  
92 212 48664.00 I  0.068132 0.000124  0.117436 0.000189  I-0.2271555 0.0000080  2.1597 0.0065  I   -10.210     .329    -1.526     .116   .068100   .116900  -.2272000    -9.800    -2.400  
92 213 48665.00 I  0.064775 0.000124  0.116959 0.000189  I-0.2292539 0.0000080  2.0505 0.0064  I   -10.677     .303    -1.413     .109   .065100   .116600  -.2293000   -10.000    -2.300  
92 214 48666.00 I  0.061352 0.000159  0.116595 0.000140  I-0.2312884 0.0000100  2.0371 0.0062  I   -11.010     .307    -1.693     .114   .062000   .116300  -.2313500   -10.200    -2.300  
92 215 48667.00 I  0.058000 0.000218  0.116366 0.000174  I-0.2333678 0.0000095  2.1427 0.0091  I   -11.097     .271    -2.234     .298   .058900   .116100  -.2334600   -10.300    -2.400  
92 216 48668.00 I  0.054809 0.000246  0.116287 0.000155  I-0.2356092 0.0000153  2.3546 0.0093  I   -10.912     .178    -2.651     .298   .055800   .115900  -.2357400   -10.500    -2.400  
92 217 48669.00 I  0.051757 0.000246  0.116349 0.000155  I-0.2380939 0.0000159  2.6173 0.0102  I   -10.611     .161    -2.670     .298   .052600   .115700  -.2382600   -10.600    -2.500  
92 218 48670.00 I  0.048805 0.000290  0.116529 0.000149  I-0.2408349 0.0000134  2.8532 0.0099  I   -10.353     .137    -2.396     .298   .049500   .115700  -.2410200   -10.700    -2.500  
92 219 48671.00 I  0.045894 0.000321  0.116779 0.000342  I-0.2437673 0.0000119  2.9900 0.0089  I   -10.123     .173    -2.147     .298   .046300   .115600  -.2439800   -10.700    -2.600  
92 220 48672.00 I  0.042913 0.000325  0.117045 0.000331  I-0.2467682 0.0000117  2.9867 0.0085  I    -9.889     .190    -2.105     .298   .043000   .115500  -.2469800   -10.800    -2.600  
92 221 48673.00 I  0.039778 0.000332  0.117266 0.000296  I-0.2496970 0.0000122  2.8523 0.0094  I    -9.710     .195    -2.142     .110   .039800   .115500  -.2499100   -10.800    -2.700  
92 222 48674.00 I  0.036474 0.000333  0.117372 0.000203  I-0.2524493 0.0000146  2.6473 0.0101  I    -9.651     .260    -2.107     .151   .036500   .115400  -.2526400   -10.800    -2.700  
92 223 48675.00 I  0.033127 0.000299  0.117297 0.000194  I-0.2549883 0.0000160  2.4325 0.0108  I    -9.670     .283    -2.212     .162   .033200   .115300  -.2551400   -10.800    -2.800  
92 224 48676.00 I  0.029802 0.000295  0.117059 0.000205  I-0.2573242 0.0000159  2.2473 0.0125  I    -9.614     .423    -2.581     .175   .029900   .115300  -.2574300   -10.700    -2.800  
92 225 48677.00 I  0.026518 0.000262  0.116697 0.000198  I-0.2595027 0.0000192  2.1213 0.0135  I    -9.548     .486    -3.032     .198   .026600   .115200  -.2595300   -10.700    -2.900  
92 226 48678.00 I  0.023309 0.000264  0.116286 0.000149  I-0.2615790 0.0000219  2.0317 0.0149  I    -9.711     .442    -3.300     .183   .023200   .115100  -.2615300   -10.600    -3.000  
92 227 48679.00 I  0.020126 0.000267  0.115966 0.000189  I-0.2635778 0.0000228  1.9770 0.0186  I   -10.007     .442    -3.272     .183   .019800   .115000  -.2634800   -10.500    -3.000  
92 228 48680.00 I  0.016876 0.000283  0.115796 0.000204  I-0.2655530 0.0000301  1.9822 0.0179  I   -10.167     .482    -3.161     .169   .016400   .115000  -.2654600   -10.300    -3.100  
92 229 48681.00 I  0.013486 0.000161  0.115805 0.000229  I-0.2675636 0.0000275  2.0516 0.0165  I   -10.006     .538    -3.175     .178   .013000   .115100  -.2675100   -10.100    -3.200  
92 3 1 48682.00 I  0.009984 0.000153  0.116012 0.000159  I-0.2696777 0.0000136  2.1854 0.0145  I    -9.601     .468    -3.219     .165   .009500   .115200  -.2697000    -9.900    -3.200  
92 3 2 48683.00 I  0.006399 0.000153  0.116402 0.000159  I-0.2719472 0.0000093  2.3575 0.0080  I    -9.196     .422    -3.154     .150   .006000   .115400  -.2720500    -9.700    -3.300  
92 3 3 48684.00 I  0.002753 0.000135  0.116951 0.000169  I-0.2743960 0.0000084  2.5395 0.0075  I    -8.927     .523    -3.034     .163   .002500   .115700  -.2745600    -9.500    -3.400  
92 3 4 48685.00 I -0.000954 0.000172  0.117624 0.000122  I-0.2770190 0.0000118  2.6999 0.0072  I    -8.780     .444    -3.013     .136  -.000900   .116200  -.2772200    -8.800    -3.500  
92 3 5 48686.00 I -0.004767 0.000172  0.118341 0.000122  I-0.2797781 0.0000116  2.8073 0.0084  I    -8.712     .444    -3.165     .131  -.004400   .116700  -.2799900    -8.700    -3.600  
92 3 6 48687.00 I -0.008583 0.000172  0.119030 0.000122  I-0.2826109 0.0000120  2.8466 0.0095  I    -8.712     .304    -3.375     .298  -.008000   .117300  -.2828200    -8.600    -3.700  
92 3 7 48688.00 I -0.012256 0.000181  0.119635 0.000131  I-0.2854498 0.0000150  2.8212 0.0122  I    -8.720     .304    -3.487     .140  -.011500   .118000  -.2856300    -8.500    -3.800  
92 3 8 48689.00 I -0.015683 0.000206  0.120155 0.000146  I-0.2882332 0.0000212  2.7353 0.0131  I    -8.570     .388    -3.404     .226  -.015000   .118800  -.2883600    -8.500    -3.900  
92 3 9 48690.00 I -0.018913 0.000209  0.120675 0.000143  I-0.2909033 0.0000214  2.5979 0.0153  I    -8.316     .369    -3.238     .239  -.018400   .119700  -.2910000    -8.500    -4.000  
92 310 48691.00 I -0.022029 0.000261  0.121298 0.000134  I-0.2934245 0.0000220  2.4468 0.0153  I    -8.202     .414    -3.195     .256  -.021900   .120700  -.2935400    -8.600    -4.100  
92 311 48692.00 I -0.025111 0.000254  0.122122 0.000140  I-0.2958238 0.0000220  2.3764 0.0170  I    -8.423     .481    -3.444     .244  -.025300   .121800  -.2959800    -8.700    -4.200  
92 312 48693.00 I -0.028228 0.000254  0.123197 0.000140  I-0.2982162 0.0000258  2.4228 0.0165  I    -8.890     .463    -3.756     .232  -.028700   .123000  -.2984000    -8.700    -4.300  
92 313 48694.00 I -0.031372 0.000263  0.124514 0.000118  I-0.3007007 0.0000247  2.5630 0.0170  I    -9.379     .501    -4.126     .238  -.032100   .124300  -.3008900    -8.800    -4.400  
